,0,1,2
5810,Dequam,Wright,/ Wesley Wright
5833,Tommy,La,Stella / Tommy LaStella
5836,David,Wright,(Allen)
5840,Carlos,Gomez,(Argelis)
5866,(Luis),Javier,Guerra / (Luis) Javy Guerra
5869,Ryan,Gennett,/ Scooter Gennett
5874,Felipe,Rivero,/ Felipe Vazquez
5908,Jose,Reyes,(Bernabe)
5916,Manuel,Parra,/ Manny Parra
5919,Chris,Johnson,(Dalton)
5925,Glenn,House,/ T.J. House
5967,Todd,Smyly,/ Drew Smyly
5976,Chris,Martin,(Riley)
6005,Mike,Aviles,(Anthony)
6020,Ike,Davis,(Benjamin)
6028,Samuel,Deduno,/ Sam Deduno
6031,David,Norris,/ Bud Norris
6040,Victor,Martinez,(Jesus)
6058,Covelli,Crisp,/ Coco Crisp
6061,Ken,Roberts,(b)
6084,Michael,Morse,/ Mike Morse
6097,James,Gosewisch,/ Tuffy Gosewisch
6102,Zachary,Heathcott,/ Slade Heathcott
6115,Steven,Rodriguez,(F.) / Paco Rodriguez
6124,Scott,Van,Slyke
6155,Dan,Jennings,(Lee)
6166,Andrew,Miller,(Mark)
6173,Ryan,Zimmerman,(Wallace)
6174,Miguel,Gonzalez,(Angel)
6203,Delino,DeShields,Jr.
6211,(David),Chris,Hatcher
6219,Richard,Hembree,/ Heath Hembree
6247,Norichika,Aoki,/ Nori Aoki
6272,Giancarlo,Stanton,/ Mike Stanton (c)
6314,David,Ross,(Wade)
6317,(Jose),Miguel,Cabrera
6325,Jaime,Garcia,(Omar)
6337,Steven,Souza,Jr.
6353,Jeff,Baker,(Glen)
6360,Tyler,Anderson,(John)
6374,Miguel,Montero,(Angel) (b. 1983-07-09)
6376,Dee,Strange-Gordon,/ Dee Gordon
6377,(Darrell),David,Carpenter
6387,Robert,Anderson,/ Chase Anderson
6399,Manuel,Parra,/ Manny Parra
6445,Markus,Betts,/ Mookie Betts
6449,Nathan,Adcock,/ Nate Adcock
6459,Justin,Turner,(Matthew)
6466,Matt,Harrison,(Reid)
6467,Mike,Wright,Jr.
6469,Steven,Souza,Jr.
6479,Tom,Milone,/ Tommy Milone
6504,Jose,Urena,(Miguel)
6527,Jose,Fernandez,(D.)
6532,Norichika,Aoki,/ Nori Aoki
6533,Glenn,House,/ T.J. House
6561,Chris,Johnson,(Dalton)
6566,Ike,Davis,(Benjamin)
6569,Billy,Hamilton,(R.)
6586,Tyler,Moore,(Michael)
6595,Manuel,Parra,/ Manny Parra
6606,John,Leathersich,/ Jack Leathersich
6632,Steven,Putnam,/ Zach Putnam
6636,Enrique,Hernandez,/ Kike Hernandez
6677,Miguel,Gonzalez,(Angel)
6751,Jung,Ho,Kang
6754,Juan,Perez,(Carlos)
6755,Billy,Hamilton,(R.)
6756,Kristopher,Negron,/ Kris Negron
6766,Rafael,Lopez,(Manuel) / Raffy Lopez
6768,Carlos,Martinez,(Ernesto)
6914,Steven,Rodriguez,(F.) / Paco Rodriguez
6915,Francelis,Montas,/ Frankie Montas
6916,Jose,Reyes,(Bernabe)
6918,Abraham,Almonte,(b. 1989-06-27)
6921,Ryan,Cook,(William)
6922,Jarrod,Parker,(Brent)
6932,Lance,McCullers,Jr.
