,0,1,2
13198,Tom,Murphy,(James)
13204,Anthony,Wingenter,/ Trey Wingenter
13206,Jose,Castillo,(Gregorio)
13210,Justin,Anderson,(Charles)
13214,Robert,Anderson,/ Chase Anderson
13217,Jose,Quintana,(Guillermo)
13222,Juan,Soto,(Jose)
13263,Jose,Urena,(Miguel)
13283,Roberto,Perez,(Andres)
13291,Matthew,Bowman,/ Matt Bowman
13312,Tim,Anderson,(Devon)
13315,Ryan,Braun,(Joseph)
13317,Todd,Smyly,/ Drew Smyly
13344,Carlos,Martinez,(Ernesto)
13353,Caleb,Smith,(Anthony)
13365,Rich,Hill,(Joseph)
13376,Ozhaino,Albies,/ Ozzie Albies
13393,Chris,Martin,(Riley)
13395,Alex,Gonzalez,(b) / Chi Chi Gonzalez
13402,Troy,Stokes,Jr.
13421,Giancarlo,Stanton,/ Mike Stanton (c)
13427,Joe,Kelly,(William)
13429,Carl,Edwards,Jr. / C.J. Edwards
13430,Jorge,Lopez,(Yabiel)
13481,Ronald,Acuna,Jr.
13482,Will,Smith,(Dills)
13486,Nestor,Cortes,Jr.
13502,Brett,Martin,(Ryan)
13504,Jakob,Junis,/ Jake Junis
13521,Steven,Souza,Jr.
13525,David,Peterson,(John)
13546,,,
13558,Zach,Britton,/ Zack Britton (Grant)
13568,Chris,Davis,(Lyn)
13570,Jose,Alvarez,(Ricardo)
13601,Nick,Anderson,(Paul)
13637,Andrew,Miller,(Mark)
13639,Austin,Davis,(Richard)
13647,Manuel,Pina,/ Manny Pina
13666,Ricardo,Sanchez,(Jose)
13705,Ian,Kennedy,(Patrick)
13716,Justin,Turner,(Matthew)
13734,Jose,Quintana,(Guillermo)
13736,(Luis),Javier,Guerra / (Luis) Javy Guerra
13739,Kyle,Hart,(Patrick)
13756,Giovanny,Urshela,/ Gio Urshela
13768,Kwang-hyun,Kim,/ Kwang Hyun Kim
13784,Lance,McCullers,Jr.
13786,Luis,Campusano-Bracero,(Genaro)
13817,Ryan,Tellez,/ Rowdy Tellez
13828,Tom,Milone,/ Tommy Milone
13834,Cody,Reed,(Austin)
13846,Shedric,Long,Jr. / Shed Long Jr.
13851,Josh,Taylor,(Earl)
13883,Chris,Davis,(Lyn)
13899,Jose,De,Leon (Eugenio)
13930,Adam,Eaton,(Cory)
13969,Richard,Hembree,/ Heath Hembree
13970,Jason,Martin,(b. 1995-09-05)
13993,Luis,Basabe,(Alexander) / Luis Alexander Basabe
14007,Carlos,Martinez,(Ernesto)
14008,Josh,Smith,(Allen)
14024,Manuel,Rodriguez,(b. 1996-08-06) / Manny Rodriguez
14277,Colin,Poche,(Michael)
14281,Francelis,Montas,/ Frankie Montas
14283,Anthony,Wingenter,/ Trey Wingenter
14293,Austin,Davis,(Richard)
14299,Jose,Castillo,(Gregorio)
14302,Tim,Lopes,/ Timmy Lopes
14314,Chris,Davis,(Lyn)
14315,Nick,Anderson,(Paul)
14321,Brandon,Bailey,(David Keith)
14331,Shedric,Long,Jr. / Shed Long Jr.
14333,Raul,Mondesi,(Adalberto) / Adalberto Mondesi
14334,Justin,Wilson,(James)
14337,Zach,Britton,/ Zack Britton (Grant)
14355,Kwang-hyun,Kim,/ Kwang Hyun Kim
14363,Joe,Kelly,(William)
14366,Jorge,Guzman,(b. 1996-01-28)
14368,Drew,Smith,(David)
14369,Jacob,Lugo,/ Seth Lugo
14370,Jose,Martinez,(Alberto)
14371,D.J.,Stewart,(Demetrius Jerome)
14372,Austin,Adams,(Lance)
14376,Javier,Guerra,/ Javy Guerra (Alexis)
14381,Trent,Grisham,/ Trent Clark
14385,Brett,Martin,(Ryan)
14394,Eduardo,Rodriguez,(Jos̩)
14429,Josh,Bell,(E.)
14435,Fernando,Tatis,Jr.
14443,Tim,Anderson,(Devon)
14448,Billy,Hamilton,(R.)
14459,Peter,Fairbanks,/ Pete Fairbanks
14460,Giovanny,Urshela,/ Gio Urshela
14472,Lourdes,Gurriel,Jr.
14473,Chris,Martin,(Riley)
14477,Julio,Martinez,/ J.D. Martinez
14493,(Jose),Miguel,Cabrera
14499,Dan,Winkler,/ Danny Winkler
14513,Matt,Duffy,(Michael)
14527,Lamonte,Wade,Jr.
14543,,,
14545,Todd,Smyly,/ Drew Smyly
14590,Juan,Soto,(Jose)
14591,Cody,Reed,(Austin)
14618,Brian,Anderson,(Wade)
14630,Diego,Castillo,(b. 1994-01-18)
14637,Brett,Anderson,(Franklin)
14674,Daniel,Robertson,(Roger)
14675,Manuel,Pina,/ Manny Pina
14678,Victor,Gonzalez,(Aaron)
14680,Luis,Robert,(b. 1997-08-03)
14683,Hyun,Jin,Ryu / Hyun-Jin Ryu
14686,Mike,Yastrzemski,(Andrew)
14687,Jazz,Chisholm,Jr.
14695,Marco,Gonzales,(Elias)
14696,Yoshitomo,Tsutsugo,/ Yoshi Tsutsugo
14707,Andrew,Miller,(Mark)
14708,Daniel,Ponce,de Leon
14713,Mariekson,Gregorius,/ Didi Gregorius
14714,Rich,Hill,(Joseph)
14741,Tom,Milone,/ Tommy Milone
14753,Dan,Winkler,/ Danny Winkler
14774,Tommy,La,Stella / Tommy LaStella
14780,Luis,Robert,(b. 1997-08-03)
14793,Roberto,Perez,(Andres)
14798,Diego,Castillo,(b. 1994-01-18)
14806,Chris,Rodriguez,(b. 1998-07-20)
14821,Enrique,Hernandez,/ Kike Hernandez
14867,Carlos,Martinez,(Ernesto)
14870,Fernando,Tatis,Jr.
14881,Albert,Almora,Jr.
14891,Jose,Alvarez,(Ricardo)
14932,Andrew,Cave,/ Jake Cave
14936,Yoshitomo,Tsutsugo,/ Yoshi Tsutsugo
14954,Giancarlo,Stanton,/ Mike Stanton (c)
14971,Mariekson,Gregorius,/ Didi Gregorius
14987,Wilmer,Flores,(Alejandro)
14992,Cody,Reed,(Austin)
15062,Trent,Grisham,/ Trent Clark
15071,Matt,Duffy,(Michael)
15073,Brian,Anderson,(Wade)
15086,Lance,McCullers,Jr.
15105,Jeff,Hoffman,(Robert)
15135,Jose,Urena,(Miguel)
15136,Justin,Wilson,(James)
15158,Jose,Quintana,(Guillermo)
15187,Justin,Dunn,(b. 1995-09-22)
15196,Mike,Yastrzemski,(Andrew)
15208,Jonathan,Brubaker,/ J.T. Brubaker
15210,James,Frankoff,/ Seth Frankoff
15220,Justin,Williams,(Paul)
15221,Kwang-hyun,Kim,/ Kwang Hyun Kim
15238,Robert,Anderson,/ Chase Anderson
15240,Raul,Mondesi,(Adalberto) / Adalberto Mondesi
15243,Billy,Hamilton,(R.)
15244,James,Sherfy,/ Jimmie Sherfy
15273,Joe,Smith,(Michael)
15275,Yoshitomo,Tsutsugo,/ Yoshi Tsutsugo
15278,Ian,Kennedy,(Patrick)
15285,Robert,Anderson,/ Chase Anderson
15307,Max,Muncy,(Steven)
15326,Jose,Devers,(Rodolfo)
15344,Matthew,Boyd,/ Matt Boyd
15352,Carl,Edwards,Jr. / C.J. Edwards
15373,Adam,Eaton,(Cory)
15378,Justin,Dunn,(b. 1995-09-22)
15409,Cesar,Valdez,(Miguel)
15410,Raul,Mondesi,(Adalberto) / Adalberto Mondesi
15417,Brett,Anderson,(Franklin)
15432,Daniel,Ponce,de Leon
15465,Zach,Britton,/ Zack Britton (Grant)
15481,(Dennis),Ryan,Tepera
15498,Ryan,Thompson,(Scott)
15520,David,Peterson,(John)
15530,Steven,Fuentes,(Oneil)
15556,Sam,Long,/ Sammy Long
15564,Victor,Gonzalez,(Aaron)
15580,Carlos,Martinez,(Ernesto)
15601,Joe,Ross,(Andrew)
15604,Michael,King,(McRae)
15613,Gerald,Posey,/ Buster Posey
15617,Duane,Underwood,Jr.
15619,Michael,Brosseau,/ Mike Brosseau
15636,Ronald,Acuna,Jr.
15650,Nestor,Cortes,Jr.
15654,Ian,Anderson,(Theodore)
15666,Giovanny,Urshela,/ Gio Urshela
15685,Pablo,Lopez,(Jose)
15687,Jose,Urena,(Miguel)
15712,Jazz,Chisholm,Jr.
15716,Jake,Rogers,(Ray)
15727,John,Hammer,/ J.D. Hammer
15729,Chase,DeJong,/ Chase De Jong
15757,Tyler,Wells,(Austin)
15759,Nicholas,Castellanos,/ Nick Castellanos
15770,James,Sherfy,/ Jimmie Sherfy
15773,Stephen,Nogosek,/ Steve Nogosek
15783,Markus,Betts,/ Mookie Betts
15802,Taylor,Rogers,(A.)
15815,Alex,Gonzalez,(b) / Chi Chi Gonzalez
15822,Peter,Fairbanks,/ Pete Fairbanks
15856,Fernando,Tatis,Jr.
15867,Billy,Hamilton,(R.)
15874,Shedric,Long,Jr. / Shed Long Jr.
15876,Ryan,Hartman,(b. 1994-04-21)
15889,Jazz,Chisholm,Jr.
15896,Giovanny,Urshela,/ Gio Urshela
15917,Eli,White,(Thomas)
15929,Yulieski,Gurriel,/ Yuli Gurriel
15932,Victor,Gonzalez,(Aaron)
15933,Roberto,Perez,(Andres)
15947,Robert,Anderson,/ Chase Anderson
15948,Julio,Martinez,/ J.D. Martinez
15964,Kwang-hyun,Kim,/ Kwang Hyun Kim
15967,Bobby,Bradley,(b. 1996-05-29)
15968,Jazz,Chisholm,Jr.
15977,Joe,Kelly,(William)
15979,D.J.,Johnson,(Stuart)
15994,Markus,Betts,/ Mookie Betts
16040,Tyler,Jones,(James)
16044,Drew,Smith,(David)
16055,Joe,Ross,(Andrew)
16060,Josh,Taylor,(Earl)
16065,Luis,Gonzalez,(b. 1995-09-10)
16101,Justin,Miller,(Ryan)
16116,Jorge,Guzman,(b. 1996-01-28)
16132,Charlie,Culberson,(Edward) (b. 1989-04-10)
16143,Diego,Castillo,(b. 1994-01-18)
16145,Jose,Marte,(Manuel)
16149,Nelson,Cruz,(Ramon)
16162,Drew,Anderson,(J.)
16166,Zach,Britton,/ Zack Britton (Grant)
16197,Jonathan,Brubaker,/ J.T. Brubaker
16221,Enrique,Hernandez,/ Kike Hernandez
16234,Andrew,Miller,(Mark)
16253,Andy,Ibanez,(b. 1993-04-03)
16271,Paul,Campbell,(Alan)
16275,Josh,Taylor,(Earl)
16284,Manuel,Pina,/ Manny Pina
16292,Jakob,Junis,/ Jake Junis
16294,Tim,Anderson,(Devon)
16321,Chris,Martin,(Riley)
16322,Brett,Anderson,(Franklin)
16324,Wilmer,Flores,(Alejandro)
16328,Brian,Anderson,(Wade)
16359,Duane,Underwood,Jr.
16360,Jonathan,Brubaker,/ J.T. Brubaker
16376,Nick,Snyder,(Jordan)
16380,Jorge,Lopez,(Yabiel)
16381,Joe,Jimenez,(Alexander)
16388,Miguel,Hermosillo,/ Michael Hermosillo
16391,Alex,Gonzalez,(b) / Chi Chi Gonzalez
16410,Miguel,Del,Pozo
16421,Wander,Franco,(Samuel)
16424,Matthew,Boyd,/ Matt Boyd
16429,Ryan,Tellez,/ Rowdy Tellez
16461,(Dennis),Ryan,Tepera
16472,Jordon,Adell,/ Jo Adell
16491,Manuel,Rodriguez,(b. 1996-08-06) / Manny Rodriguez
16520,Hyun,Jin,Ryu / Hyun-Jin Ryu
16550,D.J.,Stewart,(Demetrius Jerome)
16599,Justin,Miller,(Ryan)
16600,Tyler,Wells,(Austin)
16610,Josh,Taylor,(Earl)
16617,Nick,Anderson,(Paul)
16623,Chris,Ellis,(John)
