Team_ID,Full_Team_Name,First_Year,Last_Year,Team_Name
PRO,Providence Grays,1878,1885,Grays
PS,Philadelphia Stars,1934,1948,Stars
PTG,Philadelphia Hilldale Giants,1928,1928,Hilldale Giants
PHI,Philadelphia Whites,1873,1875,Whites
RES,Elizabeth Resolutes,1873,1873,Resolutes
RIC,Richmond Virginians,1884,1884,Virginians
ROC,Rochester Broncos,1890,1890,Broncos
ROK,Rockford Forest Citys,1871,1871,Forest Citys
STL,St. Louis Brown Stockings,1876,1877,Brown Stockings
SDP,San Diego Padres,1969,2022,Padres
SEA,Seattle Mariners,1977,2022,Mariners
SEN,Washington Black Senators,1938,1938,Black Senators
NYG,New York Giants,1883,1957,Giants
SFG,San Francisco Giants,1958,2022,Giants
SL2,St. Louis Stars,1937,1937,Stars
SLM,St. Louis Terriers,1914,1915,Terriers
SLM,St. Louis Maroons,1884,1886,Maroons
SLR,St. Louis Red Stockings,1875,1875,Red Stockings
SLG,St. Louis Giants,1920,1921,Giants
SLS,St. Louis Stars,1922,1931,Stars
STL,St. Louis Brown Stockings,1875,1875,Brown Stockings
AB3,Indianapolis ABCs,1938,1938,ABCs
HAR,Harrisburg Stars,1943,1943,Stars
SL3,St. Louis Stars,1939,1939,Louis Stars
SNS,St. Louis/New Orleans Stars,1940,1941,Stars
STL,St. Louis Cardinals,1882,2022,Cardinals
STP,St. Paul White Caps,1884,1884,White Caps
SYR,Syracuse Stars,1879,1879,Stars
SYR,Syracuse Stars,1890,1890,Stars
TBD,Tampa Bay Devil Rays,1998,2007,Devil Rays
TBR,Tampa Bay Rays,2008,2022,Rays
TEX,Texas Rangers,1972,2022,Rangers
WSA,Washington Senators,1961,1971,Senators
TOL,Toledo Maumees,1890,1890,Maumees
TOL,Toledo Blue Stockings,1884,1884,Blue Stockings
TOR,Toronto Blue Jays,1977,2022,Blue Jays
TRO,Troy Haymakers,1871,1872,Haymakers
TRO,Troy Trojans,1879,1882,Trojans
TT,Toledo Tigers,1923,1923,Tigers
WAP,Washington Pilots,1932,1932,Pilots
WAS,Washington Statesmen,1891,1891,Statesmen
WHS,Washington Senators,1892,1899,Senators
WAS,Washington Blue Legs,1873,1873,Blue Legs
WES,Keokuk Westerns,1875,1875,Westerns
WIL,Wilmington Quicksteps,1884,1884,Quicksteps
WHS,Washington Nationals,1884,1884,Nationals
WHS,Washington Nationals,1886,1889,Nationals
WAS,Washington Nationals,1875,1875,Nationals
WOR,Worcester Ruby Legs,1880,1882,Ruby Legs
WMP,Wilmington Potomacs,1925,1925,Potomacs
WP,Washington Potomacs,1924,1924,Potomacs
MON,Montreal Expos,1969,2004,Expos
WSN,Washington Nationals,2005,2022,Nationals
WAS,Washington Nationals,1884,1884,Nationals
